Tag,Date,URL,,Source,Country,Language,Reach,Sentence
Origin: Pakistan,03-Apr-2020 05:34PM,http://twitter.com/maxibaba/statuses/1246098815821787136,,Twitter,Pakistan,English,795,"RT @jannamahmoud3: Palestinian youths have organized a voluntary initiative to entertain the children of Gaza Strip, who are in quarantine as a precaution to prevent the spread of #coronavirus, by dressing as clowns and playing at the refugee camps' streets. #Act4Palestine https://t.co/rRafm3sado"
Origin: Pakistan,03-Apr-2020 05:24PM,http://twitter.com/ali_ba7/statuses/1246096213327450112,,Twitter,Pakistan,English,4062,"RT @BeingNafeel: #Palestinian youths have organized a voluntary initiative to entertain the children of #Gaza Strip, who are in quarantine as a precaution to prevent the spread of #coronavirus, by dressing as clowns and playing at the refugee camps' streets. https://t.co/HQRpuoqGhS"
Origin: Pakistan,03-Apr-2020 05:07PM,https://twitter.com/ahsan_jehangir/statuses/1246092004653662210,,Twitter,Pakistan,English,0,"RT @DailySabah: Turkey's Diyanet Foundation launches COVID-19 awareness campaign in Rohingya refugee camps, distributes aid https://t.co/MZVG1mlb9q"
Origin: Pakistan,03-Apr-2020 05:07PM,https://twitter.com/NKMalazai/statuses/1246091919215800321,,Twitter,Pakistan,English,0,"'The coronavirus is dangerous, but hunger is more so. That’s what we are more worried about,” Haji Abdullah, a leader of Afghan refugees, told Aamir Latif for Anadolu Agency. https://t.co/XuoFVRYaZM"
Origin: Pakistan,03-Apr-2020 04:55PM,https://twitter.com/Asif_Iqbal_86/statuses/1246088834368057350,,Twitter,Pakistan,English,0,"The plight of the poor is just that, no distinction in nationalities, humanity is one. Well done Shahid Afridi, who is doing some great work. 'Coronavirus is dangerous, but hunger is more so': Afghan refugees in Pakistan seek help https://t.co/NOMV9ZXNBU"
Origin: Pakistan,03-Apr-2020 04:50PM,http://twitter.com/ShaHJeEllanI1/statuses/1246087575485517826,,Twitter,Pakistan,English,598,"RT @FilippoGrandi: Big thanks 👏🏻 to ⁦@Sony⁩ for establishing a global relief fund worth 100 million $ to help respond to the #COVID19 pandemics, and for donating 3 million $ to UNHCR for its activities in support of affected refugees and host communities. https://t.co/iYEUcRwApk"
Origin: Pakistan,03-Apr-2020 04:37PM,http://twitter.com/Khalil_lodeen/statuses/1246084474632273921,,Twitter,Pakistan,English,186,"RT @UNDPNorway: 55% of the🌍population doesn't have social protection. The🌍's working poor, refugees, IDPs & slum dwellers do not have the luxury of #socialdistancing #SafeHands or #workfromhome during #COVID19 @UNDP @asakookai explains our #COVID19Pandemic response👉https://t.co/94vZy9L77E https://t.co/70imyQVLjx"
Origin: Pakistan,03-Apr-2020 04:26PM,https://twitter.com/ahsan_jehangir/statuses/1246081624917323778,,Twitter,Pakistan,English,0,"RT @shafiur: Podcast with #Rohingya refugees ( from Kutupalong No Man’s Land), Dr Ambia Perveen & Nay San Lwin concerning impact of internet ban esp. during the #coronavirus crisis. #COVID19 https://t.co/Cza42dypkV https://t.co/4DfHAf8Q5J"
Origin: Pakistan,03-Apr-2020 04:09PM,https://twitter.com/tomthehack/statuses/1246077349210263552,,Twitter,Pakistan,English,0,"'Coronavirus is dangerous, but hunger is more so': Afghan refugees in Pakistan seek help https://t.co/3HowlUOT7e"
Origin: Pakistan,03-Apr-2020 02:41PM,http://twitter.com/ImranAzizBhatti/statuses/1246055255256825857,,Twitter,Pakistan,English,274,"RT @jannamahmoud3: Palestinian youths have organized a voluntary initiative to entertain the children of Gaza Strip, who are in quarantine as a precaution to prevent the spread of #coronavirus, by dressing as clowns and playing at the refugee camps' streets. #Act4Palestine https://t.co/rRafm3sado"
